"* Required Fields","* Required Fields"
"Write Us","Write Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
Name,Name
Email,Email
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
Submit,Submit
"<p class=""solwin_freego_logo"">&nbsp;</p>","<p class=""solwin_freego_logo"">&nbsp;</p>"
"Theme Settings","Theme Settings"
Header,Header
"Top Header Notification","Top Header Notification"
"Show Sharing addon","Show Sharing addon"
"Addthis Pub ID","Addthis Pub ID"
"Add Home link in navigation","Add Home link in navigation"
Footer,Footer
"Show Newsletter","Show Newsletter"
"Newsletter Block Title","Newsletter Block Title"
"Newsletter Block Text","Newsletter Block Text"
"Footer Logo","Footer Logo"
"Show Social Icon","Show Social Icon"
"Show Facebook","Show Facebook"
"Facebook Url","Facebook Url"
"Show Twitter","Show Twitter"
"Twitter Url","Twitter Url"
"Show Linkedin","Show Linkedin"
"Linkedin Url","Linkedin Url"
"Show Google+","Show Google+"
"Google+ Url","Google+ Url"
"Show Pinterest","Show Pinterest"
"Pinterest Url","Pinterest Url"
"Product List Page","Product List Page"
"Show New Label","Show New Label"
"Show Sale Label","Show Sale Label"
"Product View Page","Product View Page"
"Show Related, Upsell and Crosssell Products","Show Related, Upsell and Crosssell Products"
"Contact Page","Contact Page"
"Show Google Map","Show Google Map"
"Google Map Embeded Code","Google Map Embeded Code"
"Store Name","Store Name"
"Store Address","Store Address"
"Contact No.","Contact No."
"Store Email","Store Email"
