Label,Label
Image,Image
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Middle Left","Middle Left"
"Middle Center","Middle Center"
"Middle Right","Middle Right"
"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Sold Out Label","Sold Out Label"
"Sold Out Label Configuration","Sold Out Label Configuration"
"Enable sold out Label","Enable sold out Label"
"Show sold out Label/Image","Show sold out Label/Image"
"Show sold out Label Position","Show sold out Label Position"
"Show sold out Image Position","Show sold out Image Position"
"Sold Out Label Title","Sold Out Label Title"
"Image for Sold Out Label","Image for Sold Out Label"
"upload image for sold out label","upload image for sold out label"
"Sold Out Image Height","Sold Out Image Height"
"Sold Out Image Width","Sold Out Image Width"
