"We can't find products matching the selection.","Chúng tôi không tìm thấy sản phẩm nào khớp với lựa chọn của bạn."
"Add to Cart","Thêm vào giỏ hàng"
"In stock","Còn hàng"
"Out of stock","Hết hàng"
"Add to Wish List","Thêm vào danh sách yêu thích"
"Add to Compare","Thêm vào so sánh"
"Learn More","Xem thêm"
"Related Products","Sản phẩm liên quan"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","Sản phẩm mới"
"Our Brands","Thương hiệu của chúng tôi"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Email To A Friend","Gửi email cho bạn bè"
Availability,Availability
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Nhập địa chỉ email của bạn"
Subscribe,"Đăng kí"
"Recently Viewed","Đã xem gần đây"
"Recently Compared","Đã so sánh gần đây"
Information,"Về beemall"
"Contact Information","Thông tin liên lạc"
"Last Added Items","Những sản phẩm đã thêm"
"Remove This Item","Loại bỏ sản phẩm này"
"Go to Wish List","Đi tới danh sách yêu thích"
"You have no items in your wish list.","Không có sản phẩm nào trong danh sách yêu thích của bạn."
"%name,","%name,"
"Welcome to %store_name.","Chào mừng bạn đến với %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
Email:,Email:
Password:,"Mật khẩu:"
"Password you set when creating account","Mật khẩu bạn thiết lập khi tạo tài khoản"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Bạn quên mật khẩu? Click <a href=""%reset_url"">vào đây</a> để đặt lại mật khẩu."
"When you sign in to your account, you will be able to:","Khi bạn đăng nhập vào tài khoản của bạn, bạn sẽ có thể:"
"Quick Checkout","Thanh toán nhanh"
"Proceed through checkout faster","Xử lý thanh toán nhanh hơn"
"Order Status","Trạng thái đơn hàng"
"Check the status of orders","Kiểm tra trạng thái đơn hàng"
"Manage Addresses","Quản lý liên lạc"
"Store alternative addresses","Địa chỉ thay thế của cửa hàng"
"For shipping to multiple family members and friends","Vận chuyển đến bạn bè và gia đình"
"Order History","Lịch sử đơn hàng"
"View past orders","Xem các đơn hàng trong quá khứ"
"Account Dashboard","Bảng tổng quan tài khoản"
"Account Information","Thông tin tài khoản"
"Address Book","Sổ liên lạc"
